temperature,humidity,wind_speed,wind_direction,cloud_cover,pressure,visibility,precipitation,uv_index,dew_point,weather
22.8,37.7,17.3,348.7,13.2,1022.4,16.5,0.0,8.1,6.2,Sunny
28.1,40.6,13.5,29.3,0.0,1011.0,12.8,0.0,8.6,17.9,Sunny
14.8,53.3,8.5,145.9,69.9,1019.5,9.4,3.0,3.5,15.5,Cloudy
19.5,79.1,28.2,102.9,87.3,1008.2,6.1,11.9,2.5,12.2,Rainy
23.1,44.4,10.5,265.4,58.3,1014.3,10.2,0.7,3.9,15.9,Partly Cloudy
20.8,42.4,10.6,129.7,36.1,1006.7,17.2,0.0,4.0,12.4,Partly Cloudy
21.0,79.8,22.2,311.8,73.4,1017.1,6.6,0.0,4.4,12.7,Cloudy
23.0,67.2,15.1,192.4,78.8,1011.2,12.8,2.9,2.4,17.1,Cloudy
16.7,84.0,46.8,82.3,97.6,1006.5,7.1,9.2,1.3,19.0,Thunderstorm
16.1,89.4,6.8,293.9,76.2,1018.7,0.0,0.2,2.6,12.6,Foggy
16.3,61.6,7.6,157.5,92.3,1008.4,10.2,4.3,3.1,17.9,Cloudy
12.5,74.7,21.9,165.4,80.5,1013.5,3.4,3.8,3.4,8.9,Cloudy
19.5,55.6,14.9,322.8,62.3,1022.3,7.0,1.3,2.5,10.6,Cloudy
19.2,96.8,80.7,128.2,88.9,988.7,3.9,8.7,1.6,25.9,Thunderstorm
21.4,58.8,13.6,75.4,82.0,1008.3,1.1,0.0,4.4,17.9,Cloudy
9.3,96.3,5.9,269.9,52.5,1003.7,2.3,0.3,2.3,5.1,Foggy
26.8,24.2,16.7,284.1,17.1,1013.6,15.0,1.2,10.0,10.2,Sunny
24.3,49.8,11.2,323.9,58.0,1013.6,1.8,2.0,2.4,9.2,Cloudy
18.2,81.2,39.4,295.5,89.4,1007.0,9.6,13.0,1.9,9.3,Rainy
17.6,76.3,22.5,219.8,95.1,993.4,5.9,3.2,1.3,12.1,Rainy
33.3,30.6,8.0,246.4,42.8,1026.9,10.2,0.8,5.2,15.8,Partly Cloudy
27.6,53.7,12.0,337.8,45.9,1022.9,11.6,1.1,4.1,16.4,Partly Cloudy
19.5,94.3,6.3,326.8,50.6,1016.1,0.3,0.2,3.9,10.7,Foggy
23.5,92.4,32.3,181.0,96.6,996.2,5.7,0.0,1.7,21.1,Thunderstorm
10.5,57.4,23.5,60.0,88.1,1009.9,6.9,2.7,4.6,15.9,Cloudy
33.6,35.7,8.1,274.5,7.2,1022.1,18.9,0.0,7.1,9.8,Sunny
20.3,96.0,30.7,297.6,100.0,1004.2,6.7,6.4,0.5,14.4,Rainy
19.0,51.8,28.2,220.1,41.3,1018.6,13.4,1.2,3.8,15.9,Partly Cloudy
12.5,78.5,22.4,59.6,86.2,1007.9,5.2,3.1,0.9,13.6,Rainy
23.2,27.0,12.6,283.6,2.7,1019.2,18.2,0.0,7.9,15.2,Sunny
16.7,81.7,16.4,50.7,57.0,1010.0,4.0,3.2,2.8,16.2,Cloudy
4.5,88.6,3.7,185.5,69.4,1014.1,3.1,0.6,0.7,9.4,Foggy
25.6,18.9,15.4,125.8,7.4,1029.3,13.3,0.5,7.2,5.4,Sunny
20.8,78.9,2.0,158.7,90.0,997.6,7.0,1.4,1.6,10.7,Cloudy
14.2,92.6,4.5,198.6,85.4,1008.1,1.4,1.8,2.1,11.4,Foggy
10.5,52.8,22.3,35.8,84.8,1004.4,8.7,2.4,4.6,10.0,Cloudy
13.5,78.7,48.5,264.9,91.4,1000.6,5.7,18.7,1.7,12.0,Thunderstorm
29.6,46.7,14.5,299.0,54.2,1011.6,14.8,0.6,4.5,15.0,Partly Cloudy
19.5,91.8,4.3,8.1,90.2,1013.5,0.3,0.0,2.7,9.5,Foggy
14.3,88.8,34.2,296.1,100.0,1005.9,4.5,8.0,1.9,4.3,Rainy
16.0,87.9,38.3,63.1,98.1,1003.9,7.6,9.5,0.0,11.0,Rainy
15.8,78.2,34.7,329.6,96.0,1015.5,5.7,10.2,0.2,11.6,Rainy
16.1,77.8,28.0,170.7,81.6,996.1,3.3,14.6,1.3,9.2,Rainy
27.2,70.0,21.2,250.1,82.5,1000.6,5.8,1.6,2.9,14.9,Cloudy
19.3,81.0,31.5,237.2,94.9,1010.8,6.9,7.7,0.3,13.3,Rainy
25.8,58.2,15.7,12.2,27.0,1020.3,11.9,1.7,5.0,14.1,Partly Cloudy
33.8,53.4,8.6,201.8,57.0,1020.1,11.8,0.0,6.9,19.8,Partly Cloudy
20.5,55.4,11.9,265.6,0.0,1021.6,14.3,0.5,8.5,11.9,Sunny
18.3,75.7,14.9,172.8,91.9,1015.5,8.9,0.0,1.2,10.4,Cloudy
21.2,46.4,16.2,307.0,83.0,1019.7,9.4,1.6,2.0,12.2,Cloudy
17.3,56.7,31.9,60.1,67.0,1011.0,9.5,2.4,5.5,11.1,Cloudy
22.9,54.7,17.5,226.7,41.2,1007.5,13.9,3.5,5.2,7.2,Partly Cloudy
21.7,54.7,12.2,80.6,47.6,1026.8,14.8,0.2,5.2,12.5,Partly Cloudy
17.3,75.2,24.8,306.8,89.4,1003.7,6.3,8.9,1.0,9.4,Rainy
12.7,87.2,3.3,79.3,69.9,1009.4,2.2,0.5,3.2,16.6,Foggy
22.9,68.7,19.1,195.8,44.9,1018.2,15.3,1.1,4.0,12.1,Partly Cloudy
24.2,27.6,6.3,317.4,14.8,1017.8,16.7,0.0,9.3,18.3,Sunny
16.4,81.5,25.4,227.5,96.0,995.5,9.0,8.9,2.3,10.8,Rainy
29.7,47.6,9.1,271.3,35.2,1012.2,13.5,1.5,4.1,13.1,Partly Cloudy
15.5,89.6,5.3,313.8,61.6,1013.9,3.6,0.5,1.4,14.6,Foggy
12.0,91.8,7.6,107.4,71.6,1014.3,2.6,0.3,1.6,3.5,Foggy
22.7,47.6,16.8,76.7,40.9,1013.9,14.9,0.7,5.8,13.9,Partly Cloudy
19.5,86.1,4.3,286.8,70.3,1014.6,1.7,1.3,3.5,10.1,Foggy
22.1,39.4,6.0,117.3,0.0,1027.8,20.9,0.0,8.7,11.7,Sunny
13.1,86.5,5.7,14.3,77.2,1007.2,2.0,0.5,0.8,13.5,Foggy
28.5,50.6,11.1,317.7,23.4,1009.5,14.8,1.6,5.2,12.9,Partly Cloudy
24.8,78.8,8.8,336.7,85.3,1010.9,9.6,2.8,4.3,19.3,Cloudy
14.2,90.8,28.7,173.1,100.0,1001.8,9.5,12.3,4.4,10.7,Rainy
20.1,59.3,17.9,199.9,100.0,1004.4,10.3,0.3,3.6,11.5,Cloudy
31.1,31.6,11.4,345.9,19.1,1016.6,19.2,0.4,8.1,18.3,Sunny
25.9,60.5,23.4,175.2,34.5,1006.8,10.3,1.8,5.3,16.1,Partly Cloudy
15.7,80.6,50.9,257.7,96.6,995.7,0.7,14.6,1.4,22.2,Thunderstorm
26.6,37.8,4.7,143.7,18.6,1026.6,19.6,0.0,6.9,13.7,Sunny
9.1,92.4,2.4,121.3,66.1,1018.2,2.6,0.0,1.2,10.6,Foggy
20.6,67.2,29.0,281.4,72.8,1001.7,9.6,8.7,3.1,10.5,Rainy
10.1,92.2,3.6,337.2,81.0,1011.6,2.1,0.0,2.9,10.0,Foggy
26.4,63.6,24.6,72.7,62.5,1011.7,6.0,3.6,2.8,14.6,Cloudy
21.3,49.0,14.9,87.9,42.2,1015.8,10.8,1.3,5.9,14.6,Partly Cloudy
14.9,86.3,5.6,359.8,58.7,1017.0,1.7,0.7,3.4,10.7,Foggy
23.8,91.3,42.9,316.0,98.9,994.9,1.1,8.7,0.4,22.7,Thunderstorm
23.6,18.6,6.5,161.5,22.4,1014.8,11.0,0.8,10.0,9.2,Sunny
27.0,71.2,18.4,305.0,55.4,1011.0,0.8,1.2,4.6,14.0,Cloudy
18.0,82.2,25.8,21.7,89.5,1003.7,7.1,7.9,1.0,9.4,Rainy
14.1,65.6,22.6,209.1,78.1,1007.1,8.9,1.9,3.1,16.9,Cloudy
15.4,69.3,20.2,204.2,92.6,1014.8,5.8,5.7,2.1,13.4,Rainy
10.4,92.2,5.1,82.1,77.5,1005.5,3.1,0.3,1.7,11.3,Foggy
21.6,39.4,18.5,241.7,45.5,1017.9,14.0,0.8,3.3,12.2,Partly Cloudy
12.7,77.2,28.6,34.5,90.4,1004.0,7.9,16.8,1.4,7.9,Rainy
25.3,74.2,35.7,160.5,100.0,1006.3,3.0,3.5,2.3,18.7,Thunderstorm
16.0,75.3,16.9,81.6,85.3,1003.6,4.5,8.1,1.4,14.1,Rainy
25.2,74.1,28.6,164.5,98.7,986.0,1.3,14.9,1.6,21.5,Thunderstorm
17.8,40.1,18.1,192.9,38.7,1010.5,9.8,2.2,6.6,16.4,Partly Cloudy
8.4,85.0,5.1,303.1,81.7,1023.6,2.4,0.6,1.7,9.4,Foggy
9.5,90.5,4.2,123.0,47.0,1006.0,2.1,0.0,1.4,11.4,Foggy
26.6,74.9,15.0,357.2,50.1,1013.1,13.4,0.6,6.7,16.3,Partly Cloudy
17.4,75.6,32.8,8.2,86.5,1001.2,6.2,10.2,2.1,14.1,Rainy
34.3,82.9,35.2,180.9,97.6,989.5,3.4,10.7,1.4,18.2,Thunderstorm
17.1,80.5,9.2,158.2,92.3,999.4,7.1,2.9,1.0,13.3,Rainy
12.7,67.8,17.5,271.5,57.2,1001.0,10.6,0.2,2.7,10.7,Cloudy
12.8,92.2,35.8,82.4,84.1,1000.1,7.0,3.9,2.5,14.2,Rainy
21.4,91.9,37.4,149.1,89.1,1002.3,5.5,11.0,0.0,15.8,Thunderstorm
24.0,78.0,44.5,197.3,100.0,996.7,3.9,8.5,1.1,14.5,Thunderstorm
19.4,84.3,33.1,141.3,92.6,1007.0,4.5,7.2,1.6,11.7,Rainy
22.8,84.9,64.7,139.1,87.5,995.8,3.8,21.8,1.5,19.0,Thunderstorm
27.5,89.0,8.5,166.3,95.9,989.4,0.4,23.8,1.7,17.5,Thunderstorm
12.1,81.4,27.0,82.0,88.3,1004.2,5.9,10.3,1.7,14.1,Rainy
20.8,94.4,31.0,236.3,94.7,1002.4,4.3,3.8,0.0,18.2,Rainy
6.7,93.6,4.7,243.4,65.2,1012.0,2.7,0.3,2.3,4.0,Foggy
20.8,96.3,52.4,279.5,98.7,989.7,5.0,17.3,1.5,17.6,Thunderstorm
14.7,75.8,29.7,182.1,94.0,1010.1,10.6,12.3,0.1,12.2,Rainy
22.0,67.1,10.8,200.9,72.2,1013.6,10.3,1.5,3.6,13.7,Cloudy
24.2,52.6,8.0,263.9,25.6,1017.2,15.6,0.4,4.8,14.1,Partly Cloudy
26.2,53.2,18.9,272.3,53.5,1014.5,15.7,0.0,5.0,20.3,Partly Cloudy
20.0,52.2,19.7,140.9,60.2,1011.2,15.5,0.4,5.3,10.7,Partly Cloudy
22.2,80.6,23.2,253.1,87.5,1004.9,4.7,14.4,3.6,9.0,Rainy
23.9,88.9,37.6,187.3,90.5,995.6,2.2,20.5,1.0,17.3,Thunderstorm
15.8,84.6,39.9,282.8,81.4,1003.4,4.1,6.5,3.1,17.7,Rainy
37.7,38.6,10.2,59.5,15.7,1026.4,20.0,0.4,6.8,6.8,Sunny
8.4,79.4,47.3,227.2,96.7,998.8,4.3,11.7,1.2,20.9,Thunderstorm
29.1,34.0,9.2,94.2,12.8,1016.9,12.5,0.0,7.4,18.3,Sunny
18.4,81.6,60.8,124.5,100.0,1006.6,2.5,13.9,1.3,19.4,Thunderstorm
30.4,84.2,35.9,93.7,99.0,988.0,4.6,5.5,1.9,17.9,Thunderstorm
11.8,77.5,21.6,90.3,85.7,1006.4,8.3,3.9,2.1,13.3,Rainy
33.5,37.4,15.7,220.6,14.4,1015.8,11.7,0.0,5.8,14.6,Sunny
15.5,39.9,18.1,22.4,64.7,1022.0,12.2,0.4,4.9,11.5,Partly Cloudy
25.0,81.6,30.7,272.4,87.8,998.8,3.3,18.6,1.8,17.9,Thunderstorm
32.3,70.2,13.7,101.7,31.6,1021.3,10.6,0.2,1.8,10.7,Partly Cloudy
21.0,72.2,48.0,285.4,100.0,1006.6,3.1,24.0,1.6,21.4,Thunderstorm
33.1,31.7,16.9,130.7,26.6,1027.7,12.5,0.9,4.5,17.1,Partly Cloudy
24.8,99.4,29.0,30.0,96.0,999.9,5.0,15.0,1.7,17.8,Thunderstorm
17.4,93.2,32.1,247.3,96.8,994.0,5.1,17.1,1.4,13.0,Thunderstorm
7.0,100.0,5.7,113.2,89.8,1011.4,0.0,0.2,3.3,8.9,Foggy
8.5,81.3,20.2,325.9,100.0,999.5,7.2,3.4,4.0,16.7,Rainy
17.1,83.2,24.8,228.3,93.0,999.5,8.4,3.5,1.6,13.6,Rainy
18.5,84.4,12.0,11.9,66.9,1016.2,4.0,3.1,3.7,9.4,Cloudy
34.2,31.2,5.4,136.6,5.4,1011.4,14.3,0.0,7.8,17.6,Sunny
28.9,39.2,8.3,327.9,16.0,1021.7,16.8,0.0,10.2,9.9,Sunny
18.2,82.7,19.8,194.7,88.2,1002.6,6.0,6.8,2.8,7.2,Rainy
21.0,56.1,14.1,315.8,76.8,1007.9,10.4,2.8,5.3,11.5,Cloudy
18.2,80.6,34.3,22.9,92.8,1013.1,6.5,10.6,2.7,20.1,Rainy
14.7,87.0,21.9,59.3,82.9,1015.0,5.5,13.6,3.1,10.9,Rainy
13.0,97.4,23.6,342.2,100.0,1009.3,10.6,8.4,1.9,11.4,Rainy
30.5,30.3,9.2,169.1,12.4,1010.9,7.2,0.0,12.6,6.8,Sunny
16.8,33.0,10.0,2.8,7.5,1014.2,16.0,0.7,4.2,12.5,Sunny
12.5,89.1,6.7,191.4,61.4,1013.0,3.0,0.5,1.4,13.4,Foggy
18.5,90.4,68.0,111.4,92.6,999.2,7.2,21.3,1.3,14.4,Thunderstorm
11.4,77.5,37.2,25.6,86.1,1003.4,4.7,8.7,2.4,8.7,Rainy
23.6,65.6,33.3,50.0,80.4,1003.6,8.6,4.5,3.6,15.8,Cloudy
14.5,64.9,20.6,44.3,90.7,991.3,7.5,11.4,3.3,13.4,Rainy
28.4,42.6,14.2,195.3,43.1,1020.3,10.3,0.0,8.3,8.5,Partly Cloudy
20.9,28.1,2.7,216.4,19.4,1023.2,18.4,0.0,7.2,7.6,Sunny
28.9,25.4,8.3,9.2,20.5,1025.0,13.3,0.0,4.6,8.8,Sunny
10.3,98.0,5.5,201.5,87.4,1012.1,2.4,0.0,0.5,6.5,Foggy
19.8,88.9,40.6,41.8,94.5,999.8,4.5,21.3,0.3,12.1,Thunderstorm
6.4,92.7,8.5,274.3,100.0,1010.9,3.2,-0.0,1.1,5.2,Foggy
11.5,81.4,35.1,59.5,92.6,1002.5,7.3,5.4,1.1,15.2,Rainy
15.9,97.6,4.1,14.2,50.9,1025.2,0.5,0.6,2.5,12.3,Foggy
22.5,87.3,69.4,20.8,93.2,1013.7,4.0,19.6,1.7,16.6,Thunderstorm
4.7,98.3,3.2,274.2,60.2,1013.2,0.0,1.9,1.7,12.6,Foggy
13.7,79.1,36.1,358.6,78.9,1011.7,4.4,3.7,2.9,14.4,Rainy
13.4,96.7,3.5,107.8,76.1,1017.7,1.5,0.1,1.3,7.4,Foggy
21.4,72.3,21.1,266.6,80.1,1006.4,10.1,3.8,3.6,14.3,Cloudy
24.1,41.3,10.2,247.5,51.7,1025.5,14.4,2.7,6.0,15.6,Partly Cloudy
34.0,49.6,10.0,254.6,0.0,1014.2,12.7,0.0,9.7,11.2,Sunny
27.8,87.0,22.8,12.1,96.3,994.7,1.2,10.1,2.0,20.7,Thunderstorm
26.6,68.0,21.2,25.8,26.7,1018.9,14.5,1.6,5.4,19.5,Partly Cloudy
16.6,75.9,24.8,102.3,75.8,1007.3,4.1,5.5,2.0,14.9,Rainy
20.9,29.3,12.9,338.6,38.0,1015.7,15.2,1.2,6.3,14.6,Partly Cloudy
21.4,63.6,20.3,32.1,73.8,1009.6,13.9,4.4,1.7,14.6,Cloudy
17.9,80.9,32.5,46.7,97.0,999.3,3.6,2.8,1.5,14.1,Thunderstorm
14.7,88.9,27.3,277.5,83.3,1006.5,3.3,14.5,1.4,14.8,Rainy
9.0,90.6,5.7,244.0,46.7,1016.1,2.4,0.0,1.1,12.4,Foggy
15.6,77.3,44.7,30.7,82.1,1005.8,5.4,10.1,2.6,9.2,Rainy
25.4,47.7,10.0,177.4,49.3,1003.0,11.8,1.0,5.8,13.8,Partly Cloudy
20.6,75.6,11.4,79.1,87.4,999.7,6.3,1.9,0.6,11.2,Rainy
15.6,93.7,32.6,80.4,99.8,1013.4,7.8,20.5,2.3,18.5,Thunderstorm
20.7,71.8,4.4,109.0,63.8,1009.4,3.1,1.7,4.7,13.1,Cloudy
15.9,73.0,30.0,261.2,96.7,1006.8,5.1,11.5,2.9,12.2,Rainy
19.5,84.1,23.8,261.0,93.3,1000.1,6.1,12.5,3.1,12.0,Rainy
33.9,24.1,9.4,344.9,0.0,1018.9,21.1,0.0,7.6,10.6,Sunny
10.8,99.8,4.7,201.9,50.3,1011.7,3.1,0.7,2.7,1.9,Foggy
17.4,67.2,28.7,157.3,84.3,1006.1,6.3,8.2,2.5,10.3,Rainy
23.4,55.1,21.2,348.1,73.5,1016.3,7.0,0.9,4.0,12.3,Cloudy
22.3,37.3,5.2,277.8,7.5,1018.0,11.2,0.3,9.8,10.2,Sunny
14.6,56.8,23.3,0.2,72.4,1031.0,3.6,5.4,2.7,12.7,Cloudy
22.3,61.9,12.0,90.4,16.4,1019.5,8.4,1.7,5.0,10.2,Partly Cloudy
14.8,72.5,11.5,155.3,83.5,1013.0,13.1,0.0,2.2,12.5,Cloudy
25.7,48.1,19.6,280.9,35.7,997.6,13.2,0.0,4.2,9.9,Partly Cloudy
2.2,93.0,5.9,119.6,76.1,1017.2,2.7,0.0,2.4,9.3,Foggy
19.2,76.0,24.3,46.0,95.5,987.1,4.5,3.9,1.0,9.8,Rainy
22.4,55.9,11.5,273.3,96.8,1015.1,8.7,1.1,3.7,11.2,Cloudy
16.5,72.1,13.5,195.3,70.8,1003.8,12.5,1.2,1.3,13.4,Cloudy
16.0,47.1,15.7,46.8,45.9,1022.3,12.9,0.2,5.8,13.8,Partly Cloudy
26.8,60.8,20.0,166.2,42.8,1017.5,14.0,1.4,6.3,11.5,Partly Cloudy
20.2,81.8,30.9,42.8,97.3,1003.9,6.3,26.4,0.0,17.3,Thunderstorm
7.1,85.6,31.8,138.4,89.5,1008.2,7.5,4.0,2.2,16.0,Rainy
18.3,48.5,9.3,42.7,0.0,1018.9,15.7,0.5,11.0,15.9,Sunny
27.2,28.5,13.1,225.0,19.7,1019.3,13.9,0.1,4.4,13.6,Sunny
16.5,52.2,17.3,316.1,83.4,1001.4,9.8,1.0,2.8,16.7,Cloudy
13.4,63.4,14.7,340.0,91.6,1016.9,4.4,2.8,4.5,11.5,Cloudy
11.1,72.3,27.8,24.3,89.6,995.7,6.2,14.1,1.4,10.1,Rainy
24.8,57.0,18.2,218.0,95.5,1010.7,10.4,5.2,2.2,14.3,Cloudy
15.8,62.3,28.0,233.5,91.1,1017.1,11.0,0.0,3.9,15.0,Cloudy
14.3,100.0,30.3,76.7,98.0,1008.4,3.0,14.0,0.4,24.2,Thunderstorm
33.5,35.7,12.9,222.2,2.8,1013.8,17.1,-0.0,12.2,8.7,Sunny
19.7,82.5,26.5,156.2,86.5,993.8,9.5,13.5,0.7,14.1,Rainy
17.3,71.0,17.2,77.5,75.0,1016.2,9.3,2.1,0.9,11.2,Rainy
18.6,80.6,30.9,72.1,100.0,1009.8,6.3,14.8,1.8,10.1,Rainy
33.0,29.1,13.4,329.5,6.9,1015.9,19.1,0.2,9.8,12.0,Sunny
30.1,55.4,15.9,23.0,33.4,1019.3,10.8,1.0,5.0,6.3,Partly Cloudy
19.6,84.8,34.8,256.7,90.5,997.8,3.7,25.4,1.6,21.2,Thunderstorm
20.2,61.7,14.3,111.5,76.2,1000.0,1.6,2.8,4.0,11.6,Cloudy
27.5,40.7,12.2,227.6,14.9,1010.9,12.7,0.0,5.8,10.1,Sunny
35.2,39.2,13.4,301.6,13.4,1021.0,21.2,0.0,8.9,8.3,Sunny
18.2,95.3,3.6,266.6,92.9,998.8,6.2,10.3,2.3,9.8,Thunderstorm
11.7,88.5,2.5,37.9,71.6,1004.4,0.6,0.8,1.9,7.2,Foggy
22.8,57.1,19.6,149.3,75.5,1013.2,9.1,0.7,4.7,10.7,Cloudy
27.6,60.2,13.8,227.3,27.8,1015.4,9.2,1.3,3.7,12.4,Partly Cloudy
20.9,50.3,18.7,278.3,53.3,1020.1,13.0,0.1,7.6,12.9,Partly Cloudy
26.5,52.8,23.8,301.0,44.3,1016.7,5.7,0.8,4.6,19.7,Partly Cloudy
16.6,77.2,16.0,147.5,74.9,1004.6,6.0,2.0,2.4,14.7,Cloudy
12.0,82.9,25.3,162.2,92.3,1005.1,5.9,5.7,2.2,11.2,Rainy
14.5,79.6,15.3,126.0,73.4,1008.9,10.0,2.5,3.3,17.3,Cloudy
19.4,52.7,22.6,23.9,45.5,1022.3,14.1,1.8,5.1,19.6,Partly Cloudy
26.0,50.1,5.1,140.7,20.5,1015.6,12.9,0.0,12.0,14.1,Sunny
24.1,77.8,51.0,170.6,90.1,1005.5,2.7,7.9,0.9,15.3,Thunderstorm
11.2,95.3,5.8,210.5,94.1,1011.2,0.9,0.8,1.9,13.7,Foggy
19.2,36.0,9.8,229.1,0.6,1013.5,16.8,0.0,8.9,6.5,Sunny
9.5,98.5,6.5,54.2,82.2,1011.1,0.5,0.2,0.4,11.9,Foggy
11.1,85.2,4.4,185.1,63.4,1020.2,1.3,0.6,2.7,10.8,Foggy
25.8,89.3,29.7,8.1,93.8,1007.7,2.8,2.3,2.0,13.2,Thunderstorm
12.1,86.8,7.2,47.8,66.9,1012.0,1.9,0.8,0.3,4.6,Foggy
22.1,76.1,14.2,214.9,85.6,1007.6,1.8,10.5,2.9,10.2,Rainy
18.5,60.6,24.4,310.9,68.8,1010.9,8.5,2.1,3.1,10.8,Cloudy
36.2,51.9,12.3,163.9,3.0,1022.8,16.4,0.3,10.7,15.4,Sunny
11.5,94.9,5.5,230.1,87.8,1013.5,1.4,0.6,1.6,9.7,Foggy
14.8,63.5,23.6,317.8,78.1,1003.2,9.9,2.9,2.2,15.7,Cloudy
15.5,59.0,14.2,248.8,94.5,1018.4,6.9,0.7,1.0,9.2,Cloudy
29.0,27.5,9.3,96.7,0.0,1009.5,13.6,0.0,10.1,7.9,Sunny
12.0,76.4,33.7,127.3,96.8,1015.5,5.8,3.1,1.3,15.0,Rainy
17.4,75.4,17.8,257.5,77.3,1004.8,3.8,1.2,1.9,13.7,Cloudy
30.1,30.9,13.2,193.7,7.8,1022.2,14.9,0.0,7.9,18.8,Sunny
19.4,90.3,26.6,44.4,87.9,1000.0,9.4,11.7,2.0,17.2,Rainy
15.3,97.8,23.7,82.7,73.2,1011.0,4.2,9.6,0.7,12.9,Rainy
9.9,97.9,6.7,217.4,67.1,1019.8,4.0,1.1,1.4,8.1,Foggy
21.0,69.0,20.8,63.0,61.8,1014.1,9.2,1.5,2.8,10.3,Cloudy
28.7,96.6,42.8,83.5,92.3,1001.1,0.7,10.5,0.8,18.6,Thunderstorm
20.3,67.9,16.9,168.5,94.1,1008.8,7.9,0.2,4.9,8.8,Cloudy
19.4,94.7,39.2,11.0,96.9,993.2,1.8,31.9,1.7,18.1,Thunderstorm
26.4,70.4,70.9,302.1,87.2,995.6,4.5,8.7,0.8,15.8,Thunderstorm
23.7,39.6,10.4,234.5,4.9,1019.4,10.7,0.1,8.4,11.2,Sunny
11.9,99.7,5.3,84.4,67.1,1011.7,2.1,0.6,1.9,9.6,Foggy
24.5,40.5,13.5,215.9,0.0,1007.0,15.3,0.0,9.3,19.8,Sunny
27.6,43.8,15.9,356.4,1.3,1011.6,14.7,0.0,6.4,7.0,Sunny
33.2,33.1,11.3,54.2,0.8,1017.7,16.5,0.0,8.0,20.3,Sunny
23.5,36.9,19.3,63.8,32.2,1013.3,15.3,0.9,6.3,10.1,Partly Cloudy
29.5,38.9,10.9,66.5,32.7,1010.8,6.3,1.2,7.6,13.7,Partly Cloudy
17.6,54.2,11.8,227.6,18.3,1021.9,10.8,0.9,3.6,14.8,Partly Cloudy
25.6,73.1,16.7,117.6,85.3,1009.3,8.3,0.3,5.4,17.5,Cloudy
17.4,87.9,27.5,80.3,92.3,1007.6,6.8,14.4,1.5,7.4,Rainy
4.3,87.7,4.2,81.5,98.3,1004.9,2.7,0.0,3.0,10.3,Foggy
11.3,92.7,5.4,57.0,71.2,1008.8,2.3,0.4,2.7,8.3,Foggy
